patent_type,state,year,patent_counts
plant,New Jersey,2006,8
plant,New Jersey,2007,11
plant,New Jersey,2008,18
plant,New Jersey,2009,6
plant,New Jersey,2010,10
plant,New Jersey,2011,6
plant,New Jersey,2012,1
plant,New Jersey,2013,10
plant,New Jersey,2014,2
plant,New Jersey,2015,2
plant,New Jersey,2016,3
plant,New Jersey,2017,13
plant,New Jersey,2018,7
plant,New Jersey,2019,8
plant,New Jersey,2020,8
plant,New Jersey,2021,14
plant,New Mexico,1983,1
plant,New Mexico,1994,1
plant,New Mexico,1997,1
plant,New Mexico,2011,1
plant,New Mexico,2016,1
plant,New Mexico,2017,1
plant,New Mexico,2018,3
plant,New York,1976,1
plant,New York,1977,3
plant,New York,1980,1
plant,New York,1981,1
plant,New York,1982,4
plant,New York,1983,2
plant,New York,1984,3
plant,New York,1985,5
plant,New York,1986,4
plant,New York,1987,2
plant,New York,1988,9
plant,New York,1989,6
plant,New York,1990,2
plant,New York,1991,2
plant,New York,1992,8
plant,New York,1993,2
plant,New York,1994,9
plant,New York,1995,2
plant,New York,1996,8
plant,New York,1997,7
plant,New York,1998,2
plant,New York,1999,35
plant,New York,2000,3
plant,New York,2001,13
plant,New York,2002,3
plant,New York,2003,3
plant,New York,2004,1
plant,New York,2005,2
plant,New York,2006,20
plant,New York,2007,42
plant,New York,2008,6
plant,New York,2009,4
plant,New York,2010,1
plant,New York,2011,25
plant,New York,2012,4
plant,New York,2013,17
plant,New York,2014,13
plant,New York,2016,1
plant,New York,2017,10
plant,New York,2018,6
plant,New York,2019,5
plant,New York,2020,4
plant,New York,2021,5
plant,North Carolina,1976,1
plant,North Carolina,1977,2
plant,North Carolina,1978,2
plant,North Carolina,1982,1
plant,North Carolina,1984,1
plant,North Carolina,1986,4
plant,North Carolina,1989,2
plant,North Carolina,1990,1
plant,North Carolina,1991,2
plant,North Carolina,1992,2
plant,North Carolina,1993,1
plant,North Carolina,1994,5
plant,North Carolina,1996,5
plant,North Carolina,1997,2
plant,North Carolina,1999,1
plant,North Carolina,2000,11
plant,North Carolina,2001,7
plant,North Carolina,2002,10
plant,North Carolina,2003,6
plant,North Carolina,2004,19
plant,North Carolina,2005,6
plant,North Carolina,2006,11
plant,North Carolina,2007,11
plant,North Carolina,2008,28
plant,North Carolina,2009,21
plant,North Carolina,2010,11
plant,North Carolina,2011,12
plant,North Carolina,2012,4
plant,North Carolina,2013,22
plant,North Carolina,2014,3
plant,North Carolina,2015,8
plant,North Carolina,2016,18
plant,North Carolina,2017,19
plant,North Carolina,2018,29
plant,North Carolina,2019,18
plant,North Carolina,2020,22
plant,North Carolina,2021,35
plant,North Carolina,2022,20
plant,North Dakota,1999,2
plant,North Dakota,2001,1
plant,North Dakota,2004,1
plant,North Dakota,2005,7
plant,North Dakota,2006,4
plant,North Dakota,2018,2
plant,Ohio,1976,1
plant,Ohio,1977,30
plant,Ohio,1978,15
plant,Ohio,1980,2
plant,Ohio,1981,28
plant,Ohio,1982,4
plant,Ohio,1983,12
plant,Ohio,1984,8
plant,Ohio,1985,4
